"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"165","00122.HK",1.01259219013373,0.0125720385801841,0.101857781656162,3.71253054909796e-218,1.39132428722287e-11
"166","01223.HK",1.01068679934346,0.00797736115548842,0.0763318435364688,1.81184745291845e-241,0.00124035317211672
"167","01224.HK",0.990821138987193,-0.00817395962515662,0.123881794755811,1.64433598718704e-200,3.53595139708077e-13
"168","01225.HK",1.45755794881685,0.0198635449331312,0.0748011436277977,0.157687543811323,0.370077213064687
"169","01226.HK",0.982717280834437,-0.0286037278577286,0.207365124134855,2.35439521175781e-158,3.06529682688288e-10
"170","01229.HK",0.994608739193366,-0.0181382721661697,0.145096704661073,4.98315268168028e-188,2.43703360844396e-08
"171","00123.HK",1.00363600304449,0.00723517486447477,0.0706103750699924,3.0445133760914e-247,1.21582601639575e-08
"172","01230.HK",1.01208621464314,-0.00762099884479668,0.0876251454702597,4.45032034754952e-126,0.00096904684668778
"173","01231.HK",0.993373591863441,-0.0108387561532631,0.126898801830634,4.76581008314772e-99,0.00522584597958225
"174","01232.HK",0.985382942281026,-0.0304596286546079,0.0688825156164955,9.18257671359507e-114,5.63940765489819e-05
"175","01233.HK",0.98519672626552,-0.00712018481794083,0.0866464597959264,7.01021619495921e-94,0.0794170185577864
"176","01234.HK",1.01226185321854,0.0112368375839782,0.084102102949277,4.79595091899533e-139,3.59077355214798e-06
"177","01235.HK",1.01672730028742,0.00457586817048525,0.0763192459638599,1.31837395667213e-124,1.34788120920898e-08
"178","01237.HK",1.02777671406462,-0.0153834385530875,0.138011890820779,2.26055608483931e-88,5.04751840188509e-10
"179","01238.HK",0.993522465895066,0.00230039830486473,0.0811965203013509,3.37605380057556e-139,0.00986097556808078
"180","01239.HK",1.04080098255787,0.0121695636695902,0.204092899021548,1.26174555168762e-74,4.67571279613844e-09
"181","00124.HK",1.01418800065264,0.00792669051792297,0.0811743108352759,9.63013318402605e-237,0.00557493934932883
"182","01240.HK",1.01954399092113,0.0125521020946902,0.084668574563422,1.3985005160001e-108,6.48905017730071e-06
"183","01241.HK",1.03583200038382,0.00512619183141423,0.140407930777966,6.04128878562583e-96,0.00284589231562305
"184","01243.HK",0.997862857497584,-0.0173655870190674,0.218146836277636,8.33094294636551e-43,4.23221552126061e-13
"185","01245.HK",0.998582503578098,-0.0159279183131091,0.106683658632577,5.62212565810548e-73,1.23155168824187e-05
"186","01246.HK",1.00672829346506,-0.0305008292061281,0.224769897628146,5.22460654089829e-58,1.434346503872e-10
"187","01247.HK",1.03691458646437,0.0111447546996185,0.0930390551345752,8.91493839714939e-64,0.046954460387774
"188","01251.HK",0.997017483020053,-0.0173613253513846,0.128249705622356,6.62597065158422e-95,0.0408961476868211
"189","01252.HK",0.980129584832313,-0.00987877874523649,0.0848903340694881,8.35250969533597e-115,1.14980007480702e-09
"190","01253.HK",1.00665865379698,0.0012195778408941,0.152682315621518,1.78039559342954e-67,2.84613395092803e-10
"191","01255.HK",1.00180653416503,-0.00455039402539593,0.191039525725455,7.25450995874341e-66,4.61137218871406e-08
"192","01257.HK",1.01601188853766,0.0097223079782908,0.0560044654035992,9.4616467387813e-67,0.0719517851650958
"193","01258.HK",0.998505913889829,0.000191090481707059,0.0957867872466288,4.87429450114045e-105,0.000123849856695949
"194","01259.HK",0.990961249961392,-0.0371968847879351,0.116552801260417,1.06908614024882e-102,0.0786205197606397
"195","00126.HK",0.997893255951497,0.00215947647773366,0.119034700911131,2.53908882529552e-204,8.33052797802784e-10
"196","01260.HK",1.01402497898149,-0.0031890581718663,0.0916628987082156,3.04812327011137e-110,4.40114196017934e-05
"197","01262.HK",1.00028581904585,-0.0139034837298928,0.121112526779577,6.25201927590507e-98,0.000699533107093463
"198","01263.HK",1.03781959596883,0.0461993606362334,0.135801609451737,2.07763057970639e-93,3.41197052143769e-05
