Date, Open, High, Low, Close
03/12/21, 29550.37, 29550.37, 28707.35, 28739.72
03/11/21, 28909.98, 29412.42, 28893.21, 29385.61
03/10/21, 29255.37, 29255.37, 28710.91, 28907.52
03/09/21, 28665.26, 29047.13, 28326.13, 28773.23
03/08/21, 29362.59, 29386.33, 28422.27, 28540.83
03/05/21, 28667.14, 29397.27, 28513.13, 29098.29
03/04/21, 29525.48, 29597.16, 29102.10, 29236.79
03/03/21, 29249.43, 29912.00, 29183.59, 29880.42
03/02/21, 29708.39, 29765.96, 28957.31, 29095.86
03/01/21, 29457.89, 29550.75, 29195.97, 29452.57
02/26/21, 29412.13, 29579.67, 28980.21, 28980.21
02/25/21, 30174.22, 30453.12, 29833.05, 30074.17
02/24/21, 30702.65, 30792.88, 29532.68, 29718.24
02/23/21, 30189.97, 30948.47, 30126.40, 30632.64
02/22/21, 31071.61, 31071.61, 30298.58, 30319.83
02/19/21, 30483.46, 30720.15, 30099.71, 30644.73
02/18/21, 31183.36, 31183.36, 30570.55, 30595.27
02/17/21, 30636.37, 31168.30, 30503.46, 31084.94
02/16/21, 30675.82, 30793.48, 30497.40, 30746.66
02/11/21, 29995.28, 30184.17, 29828.62, 30173.57
02/10/21, 29796.19, 30075.50, 29732.23, 30038.72
02/09/21, 29442.50, 29527.67, 29263.98, 29476.19
02/08/21, 29629.08, 29706.08, 29293.64, 29319.47
02/05/21, 29305.09, 29495.64, 29184.09, 29288.68
02/04/21, 29093.54, 29409.00, 28775.38, 29113.50
02/03/21, 29305.41, 29312.00, 28967.01, 29307.46
02/02/21, 29378.12, 29511.00, 29198.86, 29248.70
02/01/21, 28457.85, 28982.77, 28382.26, 28892.86
01/29/21, 28826.18, 28972.06, 28259.73, 28283.71
01/28/21, 28914.85, 29191.68, 28467.01, 28550.77
01/27/21, 29556.58, 29636.63, 29194.37, 29297.53
01/26/21, 29892.85, 29965.11, 29345.74, 29391.26
01/25/21, 29677.30, 30191.16, 29673.26, 30159.01
01/22/21, 29809.23, 29862.89, 29413.52, 29447.85
01/21/21, 29951.78, 30135.50, 29745.87, 29927.76
01/20/21, 29794.41, 29993.47, 29676.54, 29962.47
01/19/21, 29100.17, 29848.43, 29100.17, 29642.28
01/18/21, 28454.59, 28864.25, 28390.29, 28862.77
01/15/21, 28394.37, 28667.59, 28294.66, 28573.86
01/14/21, 28408.12, 28510.92, 28280.09, 28496.86
01/13/21, 28309.32, 28414.54, 28136.64, 28235.60
01/12/21, 27894.29, 28276.75, 27781.42, 28276.75
01/11/21, 28003.98, 28176.65, 27794.81, 27908.22
01/08/21, 27630.03, 27920.77, 27538.20, 27878.22
01/07/21, 27715.94, 27752.36, 27457.47, 27548.52
01/06/21, 27613.34, 27756.43, 27389.78, 27692.30
01/05/21, 27281.34, 27690.21, 27150.38, 27649.86
01/04/21, 27087.13, 27502.83, 27079.24, 27472.81
12/31/20, 27194.79, 27340.99, 27163.51, 27231.13
12/30/20, 26695.11, 27159.47, 26670.97, 27147.11
12/29/20, 26490.45, 26618.78, 26432.91, 26568.49
12/28/20, 26288.37, 26514.08, 26264.32, 26314.63
12/24/20, 26342.87, 26470.40, 26221.30, 26386.56
12/23/20, 26083.11, 26343.10, 26071.76, 26343.10
12/22/20, 26260.78, 26365.20, 25998.87, 26119.25
12/21/20, 26422.62, 26498.65, 26274.65, 26306.68
12/18/20, 26650.49, 26668.10, 26363.05, 26498.60
12/17/20, 26608.44, 26678.38, 26390.59, 26678.38
12/16/20, 26421.21, 26510.19, 26318.74, 26460.29
12/15/20, 26418.93, 26436.04, 26127.68, 26207.29
12/14/20, 26522.10, 26544.12, 26318.11, 26389.52
12/11/20, 26634.21, 26704.01, 26443.01, 26505.87
12/10/20, 26335.26, 26434.47, 26287.02, 26410.59
12/09/20, 26510.42, 26666.94, 26445.66, 26502.84
12/08/20, 26460.35, 26460.35, 26270.91, 26304.56
12/07/20, 26870.58, 26870.58, 26256.40, 26506.85
12/04/20, 26811.59, 26835.92, 26652.34, 26835.92
12/03/20, 26623.42, 26781.99, 26556.02, 26728.50
12/02/20, 26670.12, 26670.12, 26379.48, 26532.58
12/01/20, 26422.71, 26662.18, 26375.24, 26567.68
11/30/20, 26853.39, 26960.93, 26322.68, 26341.49
11/27/20, 26758.49, 27009.15, 26704.60, 26894.68
11/26/20, 26695.25, 26819.45, 26612.00, 26819.45
11/25/20, 26819.96, 27040.41, 26591.30, 26669.75
11/24/20, 26630.34, 26630.34, 26409.77, 26588.20
11/23/20, 26659.79, 26662.66, 26369.34, 26486.20
11/20/20, 26406.87, 26564.25, 26313.28, 26451.54
11/19/20, 26460.61, 26460.61, 26311.64, 26356.97
11/18/20, 26434.24, 26618.01, 26344.86, 26544.29
11/17/20, 26515.09, 26530.54, 26339.88, 26415.09
11/16/20, 26362.07, 26394.40, 26191.54, 26381.67
11/13/20, 26114.60, 26156.86, 25909.18, 26156.86
11/12/20, 26409.34, 26460.94, 26071.15, 26169.38
11/11/20, 26226.80, 26432.56, 26168.63, 26226.98
11/10/20, 26474.04, 26474.04, 26041.87, 26301.48
11/09/20, 26157.77, 26172.23, 25950.41, 26016.17
11/06/20, 25750.78, 25799.97, 25540.98, 25712.97
11/05/20, 25500.91, 25695.92, 25343.44, 25695.92
11/04/20, 24790.00, 25093.72, 24733.23, 24886.14
11/03/20, 24689.56, 25048.53, 24689.51, 24939.73
11/02/20, 24274.83, 24486.02, 24232.66, 24460.01
10/30/20, 24535.90, 24600.54, 24029.95, 24107.42
10/29/20, 24290.01, 24678.90, 24258.56, 24586.60
10/28/20, 24773.54, 24844.79, 24586.06, 24708.80
10/27/20, 24839.97, 24872.52, 24602.11, 24787.19
10/23/20, 24773.12, 24970.59, 24683.25, 24918.78
10/22/20, 24696.31, 24817.01, 24556.55, 24786.13
10/21/20, 24695.54, 24903.00, 24653.16, 24754.42
10/20/20, 24571.64, 24600.39, 24456.84, 24569.54
10/19/20, 24565.43, 24771.85, 24478.47, 24542.26
10/16/20, 24194.41, 24456.97, 24194.41, 24386.79
10/15/20, 24533.75, 24573.25, 24102.21, 24158.54
10/14/20, 24808.85, 24808.85, 24498.94, 24667.09
10/12/20, 24217.25, 24702.81, 24196.80, 24649.68
10/09/20, 24343.81, 24343.81, 24059.29, 24119.13
10/08/20, 24263.33, 24263.33, 24021.93, 24193.35
10/07/20, 23999.79, 24243.91, 23905.42, 24242.86
10/06/20, 23895.21, 24005.03, 23842.25, 23980.65
10/05/20, 24039.39, 24039.39, 23674.52, 23767.78
09/30/20, 23548.89, 23780.87, 23368.49, 23459.05
09/29/20, 23584.61, 23601.40, 23256.92, 23275.53
09/28/20, 23284.09, 23523.81, 23250.34, 23476.05
09/25/20, 23425.75, 23495.26, 23124.25, 23235.42
09/24/20, 23537.83, 23590.42, 23225.33, 23311.07
09/23/20, 23701.12, 23795.19, 23559.99, 23742.51
09/22/20, 23839.67, 23908.51, 23675.62, 23716.85
09/21/20, 24483.91, 24542.55, 23928.02, 23950.69
09/18/20, 24381.13, 24501.16, 24295.01, 24455.41
09/17/20, 24676.41, 24713.79, 24250.90, 24340.85
09/16/20, 24823.96, 24829.87, 24635.24, 24725.63
09/15/20, 24621.65, 24826.87, 24621.65, 24732.76
09/14/20, 24569.03, 24750.95, 24556.52, 24640.28
09/11/20, 24352.63, 24572.66, 24293.03, 24503.31
09/10/20, 24584.94, 24615.60, 24293.21, 24313.54
09/09/20, 24295.42, 24520.92, 24213.36, 24468.93
09/08/20, 24785.26, 24785.26, 24341.32, 24624.34
09/07/20, 24621.02, 24908.29, 24475.61, 24589.65
09/04/20, 24668.80, 24813.96, 24488.64, 24695.45
09/03/20, 25026.99, 25216.02, 24854.58, 25007.60
09/02/20, 25239.86, 25239.86, 24931.17, 25120.09
09/01/20, 25085.67, 25254.14, 24995.45, 25184.85
08/31/20, 25732.49, 25847.11, 25177.05, 25177.05
08/28/20, 25330.77, 25749.40, 25258.16, 25422.06
08/27/20, 25469.77, 25469.77, 25186.42, 25281.15
08/26/20, 25520.41, 25603.17, 25360.03, 25491.79
08/25/20, 25586.99, 25621.08, 25352.26, 25486.22
08/24/20, 25352.79, 25551.58, 25325.15, 25551.58
08/21/20, 25007.13, 25178.79, 24885.86, 25113.84
08/20/20, 25055.35, 25055.35, 24621.32, 24791.39
08/19/20, 25359.03, 25382.51, 25079.25, 25178.91
08/18/20, 25470.97, 25470.97, 25257.88, 25367.38
08/17/20, 25212.28, 25588.67, 25163.29, 25347.34
08/14/20, 25072.45, 25378.53, 25040.55, 25183.01
08/13/20, 25490.02, 25490.02, 25144.46, 25230.67
08/12/20, 24868.63, 25291.80, 24685.44, 25244.02
08/11/20, 24662.04, 25031.57, 24662.04, 24890.68
08/10/20, 24376.82, 24536.01, 24272.67, 24377.43
08/07/20, 24909.37, 24909.37, 24167.79, 24531.62
08/06/20, 25201.44, 25201.44, 24641.09, 24930.58
08/05/20, 25029.39, 25167.22, 24868.29, 25102.54
08/04/20, 24664.60, 25062.41, 24539.44, 24946.63
08/03/20, 24566.81, 24647.28, 24250.98, 24458.13
07/31/20, 24747.29, 24938.85, 24534.79, 24595.35
07/30/20, 24979.24, 25197.31, 24616.05, 24710.59
07/29/20, 24710.51, 24905.44, 24671.51, 24883.14
07/28/20, 24942.74, 24942.74, 24642.35, 24772.76
07/27/20, 24909.96, 24972.46, 24526.91, 24603.26
07/24/20, 25040.76, 25101.10, 24598.46, 24705.33
07/23/20, 25235.90, 25346.36, 24992.37, 25263.00
07/22/20, 25575.25, 25779.66, 25057.94, 25057.94
07/21/20, 25427.06, 25635.66, 25378.38, 25635.66
07/20/20, 25019.60, 25222.11, 24766.17, 25057.99
07/17/20, 25142.06, 25263.97, 25015.28, 25089.17
07/16/20, 25549.40, 25576.49, 24919.95, 24970.69
07/15/20, 25888.78, 25888.78, 25299.36, 25481.58
07/14/20, 25663.16, 25663.16, 25254.32, 25477.89
07/13/20, 25848.80, 26103.84, 25715.24, 25772.12
07/10/20, 25931.78, 26137.91, 25570.36, 25727.41
07/09/20, 26351.13, 26374.94, 26016.75, 26210.16
07/08/20, 26078.61, 26299.84, 25849.78, 26129.18
07/07/20, 26571.08, 26782.62, 25911.74, 25975.66
07/06/20, 25545.54, 26453.61, 25543.15, 26339.16
07/03/20, 25319.28, 25453.58, 25182.60, 25373.12
07/02/20, 24563.57, 25124.19, 24563.57, 25124.19
06/30/20, 24468.24, 24598.61, 24271.77, 24427.19
06/29/20, 24627.64, 24627.64, 24148.62, 24301.28
06/26/20, 24697.98, 24756.58, 24537.77, 24549.99
06/24/20, 25034.87, 25071.32, 24770.95, 24781.58
06/23/20, 24541.44, 24907.34, 24184.88, 24907.34
06/22/20, 24528.53, 24628.95, 24391.17, 24511.34
06/19/20, 24373.36, 24776.54, 24334.36, 24643.89
06/18/20, 24464.94, 24464.94, 24121.89, 24464.94
06/17/20, 24363.39, 24532.01, 24195.82, 24481.41
