"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1579","06958.HK",0.957577629413859,-0.0121352143793129,0.10067761650257,0.000481461443789729,0.837104059207545,0.0807211958237295,0.59327943023954,2020-07-01
"1580","00696.HK",1.00521708516229,0.0140643814632785,0.0692427298494936,1.31059078992277e-247,0.771950574475529,0.00566195684661741,0.997643103500523,2006-02-01
"1581","06966.HK",0.885049387548991,-0.0337936297457269,0.0733138607612202,1.35212079908119e-19,0.516752439525745,0.296422972419161,0.983052138284537,2019-12-01
"1582","06968.HK",0.848615586150103,-0.0171800290553778,0.0356825328066751,2.01697280207923e-08,0.571801890195964,0.802367085910439,0.901898272532048,2020-07-01
"1583","06969.HK",0.969551292082373,0.0117820133987095,0.11101308176238,0.000982650572501421,0.958096883862114,0.908661470538453,0.551704433331615,2020-07-01
"1584","00697.HK",0.987058103393693,-0.0177349872535501,0.107465303008455,1.42122119222451e-210,0.40172842700239,9.55210690942193e-08,0.994131548909044,2006-02-01
"1585","06978.HK",1.17019839327844,0.0377290368802733,0.10207527243655,8.6074366283583e-05,0.349792959204035,0.732964528898184,0.689288471733861,2020-07-01
"1586","00698.HK",1.01183334571927,0.0161678551701109,0.118120438424066,6.04638332000312e-205,0.947134741591248,0.00445205115172408,0.9932610324374,2006-02-01
"1587","06988.HK",0.0596148977725582,-0.129068314578701,0.0912341865896903,0.92536162679189,0.693100107640277,0.147365572904742,0.0164585184603943,2020-09-01
"1588","06989.HK",0.805161048807056,-0.0710728037175728,0.05910732057174,0.0851362005342878,0.183530773236481,0.718872816774778,0.402196523077474,2020-10-01
"1589","06993.HK",0.309285407306342,-0.121975571789767,0.110852437156612,0.724308923046538,0.505524348022996,0.624125803941877,0.0820958730857349,2020-12-01
"1590","06996.HK",1.41948581246894,0.0194822042954799,0.0799565063482592,0.0350301648864381,0.867880468345633,0.804245552449043,0.380020156491454,2020-11-01
"1591","06998.HK",1.84712215432096,0.0389883760523961,0.0888152217399436,0.0147543953346373,0.208031930437623,0.0218388525539204,0.539190092082077,2020-10-01
"1592","06999.HK",1.36844023019463,0.0418449102123813,0.0803338046559417,0.0533921793716489,0.29408678187074,0.804900657375209,0.472772680657208,2020-12-01
"1593","00070.HK",1.00858474733533,-0.0152526585127315,0.11360848160237,2.03166216075976e-52,0.986241081590531,0.000240667250536412,0.985043026554526,2016-12-01
